1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU229	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU230	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae			New.CleanUp.ReferenceOTU232	0	0	0	0	0	0	0	0	21	0	0	19	0	0	1	
Unassigned							New.CleanUp.ReferenceOTU233	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		New.CleanUp.ReferenceOTU234	2	2	18	39	63	19	2	0	0	0	1	0	5	7	0	
Bacteria	Proteobacteria	Gammaproteobacteria	HTCC2188	HTCC2089			New.CleanUp.ReferenceOTU235	0	0	0	0	0	0	0	32	0	2	7	28	0	0	0	
Bacteria	Bacteroidetes	[Rhodothermi]	[Rhodothermales]	Rhodothermaceae			New.CleanUp.ReferenceOTU237	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	PB19				New.CleanUp.ReferenceOTU238	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU239	0	0	0	0	0	0	0	1	5	1	4	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			New.CleanUp.ReferenceOTU240	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				New.CleanUp.ReferenceOTU242	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU243	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio		New.CleanUp.ReferenceOTU246	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	wb1_P06			New.CleanUp.ReferenceOTU252	0	0	0	0	0	0	0	0	4	0	0	11	0	0	0	
Bacteria	Chloroflexi	SAR202					New.CleanUp.ReferenceOTU254	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	C111			New.CleanUp.ReferenceOTU256	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j				New.CleanUp.ReferenceOTU258	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU259	0	0	0	17	19	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	BME43					New.CleanUp.ReferenceOTU263	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae			New.CleanUp.ReferenceOTU265	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU266	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae			New.CleanUp.ReferenceOTU268	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	
Unassigned							New.CleanUp.ReferenceOTU278	31	13	35	83	136	4	0	0	0	0	0	0	0	0	0	
