1	2	3	4	5	6	7	8	T2	T5	T7	L6	OV5	L3	L1	L7	OV2	OV7	T3	OV8	L5	L4	T1	T4	T6	OV4	OV6	OV1	OV3	L2	L8	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Limnohabitans		1040114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			360124	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					532912	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			789394	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae			216805	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			1637549	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Synechococcales	Synechococcaceae	Synechococcus		594168	5	1	18	0	0	0	0	0	0	0	97	0	0	0	54	42	259	0	2	1	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			327512	1	28	2	1	14	0	0	0	11	25	6	5	6	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales				151384	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae			1108282	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				361839	0	5	16	0	6	0	0	0	0	0	2	16	2	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae			2641600	3	0	1	2	0	0	0	0	1	23	0	1	6	22	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae			228207	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Verrucomicrobia	[Pedosphaerae]	[Pedosphaerales]	auto67_4W			533650	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	OM27			2734215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae			238503	0	122	60	0	1	0	0	0	0	52	0	3	10	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Rhodoplanes		4402900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales				592846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales				873518	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	[Prevotella]		1008348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales				1068936	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter		1126359	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium		1083591	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Flectobacillus		972719	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae			4379318	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			1108099	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Ellin6067				593511	0	0	5	0	0	0	0	0	3	1	0	1	0	1	0	0	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Sediminibacterium		773008	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales				545550	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Methylibium		1108726	1	0	2	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	
Bacteria	Cyanobacteria	Chloroplast	Chlorophyta	Trebouxiophyceae			4365343	2033	4	161	524	22	721	1114	208	1291	114	124	47	317	153	2176	373	464	176	197	1985	482	1616	634	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				348903	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas		1074801	0	0	0	26	0	0	0	0	0	0	0	0	6	12	0	0	0	0	0	0	8	0	0	
